Model,Manual_annotated_sentences,Date-Drug_annotations,Generated_annotations,Total_annotations,Type_of_evaluation,Initiation_[95%_CI],Continuation_[95%_CI],Termination_[95%_CI],Ambiguous_[95%_CI],NoRelationship_[95%_CI],Macro_[95%_CI]
CamemBERT-bio-base,1035,3235,0,3235,precision,0.734 [0.667 - 0.8],0.792 [0.679 - 0.887],0.915 [0.818 - 1.0],0.259 [0.148 - 0.373],0.771 [0.708 - 0.832],0.694 [0.659 - 0.731]
CamemBERT-bio-base,1035,3235,0,3235,recall,0.852 [0.795 - 0.907],0.62 [0.519 - 0.726],0.547 [0.439 - 0.65],0.513 [0.333 - 0.676],0.749 [0.676 - 0.807],0.656 [0.609 - 0.704]
CamemBERT-bio-base,1035,3235,0,3235,f1-score,0.788 [0.743 - 0.833],0.694 [0.6 - 0.775],0.683 [0.587 - 0.765],0.342 [0.211 - 0.467],0.759 [0.704 - 0.807],0.653 [0.612 - 0.696]
CamemBERT-bio-base,1035,3235,3000,6235,precision,0.803 [0.733 - 0.865],0.687 [0.588 - 0.784],0.868 [0.788 - 0.939],0.366 [0.19 - 0.545],0.833 [0.776 - 0.886],0.711 [0.667 - 0.764]
CamemBERT-bio-base,1035,3235,3000,6235,recall,0.845 [0.783 - 0.9],0.723 [0.628 - 0.818],0.844 [0.765 - 0.919],0.357 [0.19 - 0.514],0.791 [0.729 - 0.854],0.712 [0.669 - 0.761]
CamemBERT-bio-base,1035,3235,3000,6235,f1-score,0.823 [0.776 - 0.871],0.703 [0.623 - 0.778],0.855 [0.797 - 0.912],0.358 [0.19 - 0.5],0.811 [0.761 - 0.853],0.71 [0.666 - 0.757]
CamemBERT-bio-base,1035,3235,9000,12235,precision,0.831 [0.769 - 0.892],0.906 [0.821 - 0.977],0.854 [0.768 - 0.933],0.265 [0.114 - 0.433],0.748 [0.684 - 0.81],0.721 [0.677 - 0.764]
CamemBERT-bio-base,1035,3235,9000,12235,recall,0.826 [0.761 - 0.889],0.585 [0.478 - 0.684],0.847 [0.758 - 0.922],0.29 [0.13 - 0.48],0.863 [0.804 - 0.914],0.682 [0.636 - 0.733]
CamemBERT-bio-base,1035,3235,9000,12235,f1-score,0.828 [0.778 - 0.879],0.709 [0.619 - 0.793],0.849 [0.785 - 0.908],0.273 [0.125 - 0.432],0.801 [0.754 - 0.842],0.692 [0.648 - 0.738]
CamemBERT-bio-base,1035,3235,21000,24235,precision,0.834 [0.767 - 0.891],0.836 [0.747 - 0.918],0.859 [0.781 - 0.93],0.31 [0.178 - 0.462],0.821 [0.764 - 0.88],0.732 [0.692 - 0.77]
CamemBERT-bio-base,1035,3235,21000,24235,recall,0.835 [0.773 - 0.895],0.746 [0.645 - 0.846],0.868 [0.79 - 0.935],0.449 [0.275 - 0.63],0.793 [0.731 - 0.853],0.738 [0.689 - 0.785]
CamemBERT-bio-base,1035,3235,21000,24235,f1-score,0.834 [0.785 - 0.876],0.788 [0.716 - 0.856],0.863 [0.803 - 0.917],0.364 [0.219 - 0.5],0.806 [0.759 - 0.853],0.731 [0.689 - 0.772]
CamemBERT-bio-base,1035,3235,45000,48235,precision,0.868 [0.807 - 0.918],0.729 [0.635 - 0.813],0.853 [0.771 - 0.925],0.355 [0.167 - 0.533],0.836 [0.779 - 0.887],0.728 [0.683 - 0.778]
CamemBERT-bio-base,1035,3235,45000,48235,recall,0.852 [0.788 - 0.908],0.84 [0.747 - 0.917],0.822 [0.733 - 0.906],0.322 [0.152 - 0.516],0.817 [0.757 - 0.877],0.73 [0.687 - 0.778]
CamemBERT-bio-base,1035,3235,45000,48235,f1-score,0.859 [0.814 - 0.901],0.779 [0.709 - 0.846],0.836 [0.77 - 0.895],0.334 [0.167 - 0.485],0.826 [0.782 - 0.87],0.727 [0.685 - 0.772]
CamemBERT-bio-base,1035,3235,93000,96235,precision,0.846 [0.779 - 0.901],0.782 [0.694 - 0.863],0.903 [0.817 - 0.967],0.479 [0.25 - 0.714],0.816 [0.762 - 0.866],0.765 [0.708 - 0.82]
CamemBERT-bio-base,1035,3235,93000,96235,recall,0.823 [0.766 - 0.884],0.83 [0.75 - 0.91],0.845 [0.754 - 0.919],0.315 [0.156 - 0.485],0.88 [0.832 - 0.926],0.739 [0.695 - 0.779]
CamemBERT-bio-base,1035,3235,93000,96235,f1-score,0.834 [0.787 - 0.879],0.804 [0.738 - 0.865],0.872 [0.812 - 0.927],0.375 [0.2 - 0.538],0.847 [0.808 - 0.883],0.746 [0.698 - 0.789]
DrBERT4GB-CP-PubMedBERT,100,335,0,335,precision,0.594 [0.514 - 0.669],0.462 [0.2 - 0.75],0.4 [0.299 - 0.505],0.151 [0.069 - 0.257],0.695 [0.627 - 0.755],0.46 [0.4 - 0.53]
DrBERT4GB-CP-PubMedBERT,100,335,0,335,recall,0.595 [0.519 - 0.665],0.083 [0.027 - 0.149],0.486 [0.371 - 0.588],0.318 [0.161 - 0.5],0.758 [0.693 - 0.814],0.448 [0.402 - 0.495]
DrBERT4GB-CP-PubMedBERT,100,335,0,335,f1-score,0.594 [0.527 - 0.651],0.139 [0.048 - 0.238],0.438 [0.34 - 0.529],0.203 [0.093 - 0.324],0.724 [0.665 - 0.772],0.42 [0.376 - 0.46]
DrBERT4GB-CP-PubMedBERT,395,1230,0,1230,precision,0.558 [0.485 - 0.627],0.578 [0.429 - 0.714],0.775 [0.675 - 0.861],0.108 [0.0 - 0.3],0.818 [0.752 - 0.88],0.568 [0.523 - 0.618]
DrBERT4GB-CP-PubMedBERT,395,1230,0,1230,recall,0.812 [0.74 - 0.876],0.372 [0.267 - 0.464],0.755 [0.645 - 0.847],0.061 [0.0 - 0.161],0.715 [0.649 - 0.773],0.543 [0.507 - 0.58]
DrBERT4GB-CP-PubMedBERT,395,1230,0,1230,f1-score,0.661 [0.6 - 0.714],0.451 [0.336 - 0.544],0.764 [0.685 - 0.827],0.077 [0.0 - 0.189],0.762 [0.712 - 0.81],0.543 [0.505 - 0.586]
DrBERT4GB-CP-PubMedBERT,740,2406,0,2406,precision,0.69 [0.615 - 0.762],0.942 [0.786 - 1.0],0.627 [0.544 - 0.71],0.277 [0.167 - 0.38],0.815 [0.752 - 0.872],0.67 [0.623 - 0.708]
DrBERT4GB-CP-PubMedBERT,740,2406,0,2406,recall,0.821 [0.755 - 0.885],0.208 [0.117 - 0.306],0.935 [0.872 - 0.987],0.487 [0.321 - 0.667],0.703 [0.633 - 0.768],0.631 [0.58 - 0.673]
